URI;arkId;fingerprint_prefLabel@fr;Opentheso_ID;Opentheso_prefLabel@fr;Opentheso_prefLabel@en;Koha_Archires_ID;Koha_Archires_prefLabel@fr;Koha_Archires_prefLabel@en;Koha_Brise-es_2024_ID;Koha_Brise-es_2024_prefLabel@fr;Koha_Brise-es_2024_prefLabel@en;Alexandrie_IPRAUS_2024_ID;Alexandrie_IPRAUS_2024_prefLabel@fr;Alexandrie_IPRAUS_2024_prefLabel@en
https://n2t.net/ark:/99152/r5qql3d3-6;99152/r5qql3d3-6;mecanique ventilation;67717/T990-2055;Ventilation mécanique;Mechanical ventilation;61036;Ventilation mécanique;Mechanical ventilation;;;;7678;Ventilation mécanique;
https://n2t.net/ark:/99152/r5g4nq7l-t;99152/r5g4nq7l-t;carte geologique;67717/T990-427;Carte géologique;Geological map;60425;Carte géologique;Geological map;378028;CARTE GEOLOGIQUE;;4101;Carte géologique;
https://n2t.net/ark:/99152/r5vj40v1-v;99152/r5vj40v1-v;1930 annees;67717/T990-102;Années 1930;1930s;60715;Années 1930;1930s;;;;4880;Années 1930;
https://n2t.net/ark:/99152/r592949h-c;99152/r592949h-c;grotte;67717/5a6f952b-5d25-4f0d-b8c7-faabc0bec850;Grotte;Cave;336729;Grotte;Cave;;;;;;
https://n2t.net/ark:/99152/r5fg5c5h-5;99152/r5fg5c5h-5;environnement sonore;67717/T990-844;Environnement sonore;Sound environment;60182;Environnement sonore;Sound environment;376318;ENVIRONNEMENT SONORE;;4259;Environnement sonore;
https://n2t.net/ark:/99152/r5wdhvqw-q;99152/r5wdhvqw-q;danse;67717/T990-654;Danse;Danse;60990;Danse;Danse;376169;DANSE;;5939;Danse;
https://n2t.net/ark:/99152/r5tss0r2-2;99152/r5tss0r2-2;habitat participatif;67717/04745f57-bba6-46d5-9aaf-6a3bd6579855;Habitat participatif;Participatory housing;308247;Habitat participatif;Participatory housing;;;;5621;Habitat participatif;
https://n2t.net/ark:/99152/r5l3g8wt-5;99152/r5l3g8wt-5;1980 annees;67717/T990-107;Années 1980;1980s;60719;Années 1980;1980s;;;;4999;Années 1980;
https://n2t.net/ark:/99152/r5p1dtx2-c;99152/r5p1dtx2-c;terril;67717/T990-1953;Terril;Slag heap;59662;Terril;Slag heap;377294;TERRIL;;4383;Terril;
https://n2t.net/ark:/99152/r5t5l5h9-4;99152/r5t5l5h9-4;representation;67717/T990-1763;Représentation;Representation;60817;Représentation;Representation;377145;REPRESENTATION;;4822;Représentation;
